Section,SectionName,Kod,Name,Notes,SubKod1,SubKod2,SubKod3
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.1,Растениеводство,,1,1.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11,"Выращивание зерновых, технических и прочих сельскохозяйственных  культур, не включенных в другие группировки",,1,11.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.1,Выращивание зерновых и зернобобовых культур,"выращивание твердой и мягкой  пшеницы, ржи, ячменя, овса, кукурузы, риса и  прочих зерновых  культур выращивание и сушку зернобобовых культур (гороха,  фасоли, бобов) выращивание семян, в том числе элитных и  репродукционных семян,  предназначенных для реализации Эта  группировка не включает: выращивание сахарной кукурузы, см.  01.12.1",1,11.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.2,"Выращивание картофеля, столовых корнеплодных и клубнеплодных культур  с высоким содержанием крахмала или инулина","выращивание картофеля  выращивание столовых корнеплодных и клубнеплодных культур с  высоким  содержанием крахмала или инулина выращивание семян и  посадочного материала, в том числе элитных и  репродукционных,  предназначенных для реализации",1,11.0,2.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.3,Выращивание масличных культур,"выращивание семян и плодов  масличных культур: подсолнечника, сурепицы,  горчицы, рапса,  соевых бобов и других масличных культур выращивание элитных  семян и репродукционных семян, предназначенных для  реализации",1,11.0,3.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.4,Выращивание табака и махорки,"выращивание табака и махорки и их  первичную обработку: сушку листьев табака и  махорки  выращивание семян, в том числе элитных и репродукционных,  предназначенных  для реализации",1,11.0,4.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.5,Выращивание сахарной свеклы,"выращивание сахарной свеклы  выращивание семян и маточников сахарной свеклы, в том числе  элитных и  репродукционных, предназначенных для реализации",1,11.0,5.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.6,Выращивание кормовых культур; заготовка растительных кормов,"выращивание корнеплодных кормовых  культур (кормовой свеклы, кормовой  моркови, турнепса), бахчевых  и зернобобовых кормовых культур выращивание силосных кормовых  культур (подсолнечника, кукурузы, кормовой  капусты и т.п.)  выращивание однолетних и многолетних кормовых трав заготовку  сена и производство растительных кормов (силоса, сенажа, травяной  муки) выращивание семян кормовых культур, в том числе элитных  и репродукционных,  предназначенных для реализации",1,11.0,6.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.7,Выращивание прядильных культур,"выращивание прядильных культур  (льна-долгунца, обыкновенной конопли,  хлопчатника и др.)  мочку растений, из которых получают растительное текстильное  волокно выращивание семян прядильных культур, в том числе  элитных семян и  репродукционных семян, предназначенных для  реализации",1,11.0,7.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.8,"Выращивание прочих сельскохозяйственных культур, не включенных в  другие группировки","выращивание растений, используемых  в качестве пестицидов выращивание растений, используемых, в  основном, в парфюмерии, фармации и  для аналогичных целей  выращивание хмеля выращивание сельскохозяйственных культур, не  включенных в другие  группировки",1,11.0,8.0
